mass,luminosity,pressure,radius,temperature,opacity,density,energy_generation_rate,radiative_grad,adiabatic_grad,actual_grad,transport
1.4578307767766154e+33,4.786360996420905e+34,3.910607781093886e+16,21059452048.175858,11596032.008493254,1.2643663230374231,24.92733652768366,2.273053663819429,0.35410183878108303,0.4,0.35410183878108303,radiative
1.4582286563445732e+33,4.786451050828434e+34,3.909042493021289e+16,21062314630.757473,11594373.705326574,1.2645848302416915,24.9209277705307,2.2709107031793834,0.35413386825286014,0.4,0.35413386825286014,radiative
1.4586265359125308e+33,4.786541018390385e+34,3.907477635259158e+16,21065177150.38578,11592715.21183462,1.2648034639257035,24.914520330587283,2.2687692849679912,0.3541659797329333,0.4,0.3541659797329333,radiative
1.4590244154804884e+33,4.786630899172007e+34,3.905913207679669e+16,21068039607.225307,11591056.527737852,1.2650222242432065,24.90811420789021,2.266629408174219,0.3541981733044596,0.4,0.3541981733044596,radiative
1.459422295048446e+33,4.786720693238523e+34,3.904349210155027e+16,21070902001.440617,11589397.652757475,1.2652411113479325,24.901709402474374,2.2644910717885747,0.3542304490505809,0.4,0.3542304490505809,radiative
1.4598201746164035e+33,4.786810400655121e+34,3.902785642557464e+16,21073764333.196346,11587738.58661544,1.2654601253935955,24.895305914372752,2.2623542748031222,0.3542628070544224,0.4,0.3542628070544224,radiative
1.460218054184361e+33,4.786900021486966e+34,3.901222504759241e+16,21076626602.657173,11586079.329034444,1.265679266533887,24.888903743616442,2.260219016211464,0.3542952473990926,0.4,0.3542952473990926,radiative
1.4606159337523186e+33,4.78698955579919e+34,3.899659796632646e+16,21079488809.98783,11584419.879737936,1.2658985349224803,24.882502890234623,2.258085295008745,0.3543277701676833,0.4,0.3543277701676833,radiative
1.4610138133202762e+33,4.787079003656899e+34,3.898097518049999e+16,21082350955.35311,11582760.23845011,1.266117930713028,24.87610335425459,2.2559531101916495,0.35436037544326915,0.4,0.35436037544326915,radiative
1.4614116928882338e+33,4.7871683651251665e+34,3.896535668883643e+16,21085213038.917854,11581100.404895907,1.2663374540591663,24.869705135701718,2.2538224607583883,0.3543930633089097,0.4,0.3543930633089097,radiative
1.4618095724561913e+33,4.787257640269039e+34,3.894974249005952e+16,21088075060.846962,11579440.378801016,1.2665571051145126,24.8633082345995,2.2516933457087114,0.3544258338476482,0.4,0.3544258338476482,radiative
1.462207452024149e+33,4.787346829153533e+34,3.893413258289328e+16,21090937021.305386,11577780.15989187,1.2667768840326579,24.856912650969537,2.249565764043891,0.3544586871425101,0.4,0.3544586871425101,radiative
1.4626053315921065e+33,4.787435931843637e+34,3.891852696606201e+16,21093798920.458122,11576119.747895652,1.2669967909671793,24.850518384831513,2.247439714766725,0.3544916232765056,0.4,0.3544916232765056,radiative
1.4630032111600643e+33,4.787524948404309e+34,3.890292563829027e+16,21096660758.47024,11574459.142540291,1.2672168260716352,24.844125436203235,2.2453151968815304,0.3545246423326289,0.4,0.3545246423326289,radiative
1.463401090728022e+33,4.787613878900478e+34,3.888732859830297e+16,21099522535.506847,11572798.343554469,1.2674369894995576,24.83773380510061,2.2431922093941408,0.3545577443938565,0.4,0.3545577443938565,radiative
1.4637989702959795e+33,4.787702723397046e+34,3.887173584482522e+16,21102384251.73311,11571137.350667605,1.2676572814044675,24.831343491537655,2.241070751311908,0.35459092954315125,0.4,0.35459092954315125,radiative
1.464196849863937e+33,4.787791481958881e+34,3.885614737658245e+16,21105245907.31425,11569476.163609874,1.2678777019398548,24.82495449552649,2.238950821643688,0.35462419786345617,0.4,0.35462419786345617,radiative
1.4645947294318946e+33,4.787880154650829e+34,3.884056319230037e+16,21108107502.415543,11567814.78211219,1.2680982512592005,24.818566817077354,2.2368324193998474,0.3546575494377021,0.4,0.3546575494377021,radiative
1.4649926089998522e+33,4.7879687415377e+34,3.882498329070497e+16,21110969037.202316,11566153.205906224,1.2683189295159583,24.812180456198586,2.2347155435922508,0.3546909843488013,0.4,0.3546909843488013,radiative
1.4653904885678097e+33,4.7880572426842795e+34,3.880940767052252e+16,21113830511.83995,11564491.434724387,1.2685397368635614,24.805795412896636,2.2326001932342767,0.35472450267964983,0.4,0.35472450267964983,radiative
1.4657883681357673e+33,4.788145658155321e+34,3.879383633047958e+16,21116691926.49388,11562829.468299838,1.2687606734554278,24.799411687176075,2.2304863673407835,0.35475810451312967,0.4,0.35475810451312967,radiative
1.466186247703725e+33,4.788233988015551e+34,3.8778269269302984e+16,21119553281.32961,11561167.306366485,1.2689817394449492,24.7930292790396,2.228374064928128,0.3547917899321049,0.4,0.3547917899321049,radiative
1.4665841272716824e+33,4.788322232329665e+34,3.876270648571985e+16,21122414576.512665,11559504.948658982,1.269202934985501,24.78664818848798,2.2262632850141704,0.35482555901942475,0.4,0.35482555901942475,radiative
1.46698200683964e+33,4.788410391162331e+34,3.874714797845756e+16,21125275812.208652,11557842.394912735,1.2694242602304342,24.780268415520133,2.224154026618239,0.35485941185792147,0.4,0.35485941185792147,radiative
1.4673798864075979e+33,4.788498464578186e+34,3.873159374624381e+16,21128136988.58323,11556179.644863887,1.2696457153330818,24.773889960133097,2.222046288761163,0.35489334853041266,0.4,0.35489334853041266,radiative
1.4677777659755554e+33,4.788586452641842e+34,3.871604378780656e+16,21130998105.80209,11554516.698249338,1.2698673004467567,24.767512822322008,2.2199400704652392,0.35492736911969974,0.4,0.35492736911969974,radiative
1.468175645543513e+33,4.788674355417876e+34,3.870049810187406e+16,21133859164.031002,11552853.554806734,1.2700890157247446,24.76113700208013,2.217835370754247,0.3549614737085668,0.4,0.3549614737085668,radiative
1.4685735251114706e+33,4.78876217297084e+34,3.868495668717483e+16,21136720163.435776,11551190.214274459,1.270310861320318,24.75476249939886,2.2157321886534396,0.35499566237978436,0.4,0.35499566237978436,radiative
1.468971404679428e+33,4.788849905365255e+34,3.866941954243768e+16,21139581104.182285,11549526.676391656,1.2705328373867217,24.748389314267676,2.213630523189538,0.35502993521610526,0.4,0.35502993521610526,radiative
1.4693692842473857e+33,4.788937552665614e+34,3.86538866663917e+16,21142441986.436443,11547862.940898208,1.2707549440771864,24.74201744667422,2.211530373390734,0.35506429230026854,0.4,0.35506429230026854,radiative
1.4697671638153433e+33,4.789025114936381e+34,3.863835805776625e+16,21145302810.36423,11546199.00753475,1.2709771815449145,24.73564689660424,2.2094317382866775,0.3550987337149957,0.4,0.3550987337149957,radiative
1.4701650433833008e+33,4.78911259224199e+34,3.862283371529099e+16,21148163576.131676,11544534.876042657,1.2711995499430908,24.72927766404161,2.207334616908491,0.35513325954299396,0.4,0.35513325954299396,radiative
1.4705629229512584e+33,4.789199984646845e+34,3.860731363769587e+16,21151024283.90486,11542870.546164058,1.271422049424876,24.722909748968327,2.2052390082887374,0.35516786986695364,0.4,0.35516786986695364,radiative
1.470960802519216e+33,4.789287292215323e+34,3.859179782371109e+16,21153884933.84993,11541206.01764183,1.2716446801434134,24.716543151364498,2.2031449114614494,0.35520256476955064,0.4,0.35520256476955064,radiative
1.4713586820871735e+33,4.789374515011771e+34,3.8576286272067144e+16,21156745526.133064,11539541.290219588,1.271867442251819,24.71017787120839,2.201052325462103,0.3552373443334444,0.4,0.3552373443334444,radiative
1.471756561655131e+33,4.789461653100506e+34,3.856077898149483e+16,21159606060.920513,11537876.363641705,1.2720903359031885,24.703813908476377,2.1989612493276267,0.3552722086412787,0.4,0.3552722086412787,radiative
1.472154441223089e+33,4.789548706545818e+34,3.854527595072519e+16,21162466538.37858,11536211.237653296,1.2723133612506023,24.697451263142952,2.1968716820963863,0.3553071577756831,0.4,0.3553071577756831,radiative
1.4725523207910465e+33,4.789635675411965e+34,3.852977717848959e+16,21165326958.67361,11534545.912000222,1.2725365184471074,24.691089935180777,2.1947836228081945,0.3553421918192702,0.4,0.3553421918192702,radiative
1.472950200359004e+33,4.789722559763179e+34,3.851428266351964e+16,21168187321.972015,11532880.386429094,1.2727598076457394,24.6847299245606,2.1926970705042974,0.3553773108546384,0.4,0.3553773108546384,radiative
1.4733480799269616e+33,4.78980935966366e+34,3.8498792404547256e+16,21171047628.440258,11531214.66068727,1.2729832289995038,24.678371231251315,2.190612024227377,0.35541251496436915,0.4,0.35541251496436915,radiative
1.4737459594949192e+33,4.789896075177581e+34,3.848330640030462e+16,21173907878.24485,11529548.734522853,1.273206782661387,24.672013855219973,2.188528483021552,0.35544780423102973,0.4,0.35544780423102973,radiative
1.4741438390628768e+33,4.789982706369083e+34,3.8467824649524216e+16,21176768071.552357,11527882.607684696,1.2734304687843543,24.66565779643172,2.1864464459323707,0.35548317873717156,0.4,0.35548317873717156,radiative
1.4745417186308343e+33,4.790069253302283e+34,3.8452347150938776e+16,21179628208.529408,11526216.279922396,1.2736542875213452,24.65930305484987,2.1843659120067955,0.35551863856533095,0.4,0.35551863856533095,radiative
1.474939598198792e+33,4.7901557160412635e+34,3.843687390328135e+16,21182488289.342678,11524549.750986302,1.2738782390252805,24.652949630435852,2.1822868802932236,0.35555418379802844,0.4,0.35555418379802844,radiative
1.4753374777667495e+33,4.790242094650082e+34,3.8421404905285256e+16,21185348314.158894,11522883.020627504,1.2741023234490543,24.646597523149246,2.180209349841452,0.3555898145177701,0.4,0.3555898145177701,radiative
1.475735357334707e+33,4.790328389192762e+34,3.840594015568408e+16,21188208283.144844,11521216.088597843,1.2743265409455418,24.64024673294776,2.1781333197027153,0.35562553080704634,0.4,0.35562553080704634,radiative
1.4761332369026646e+33,4.790414599733304e+34,3.839047965321171e+16,21191068196.46736,11519548.954649908,1.2745508916675927,24.633897259787236,2.1760587889296548,0.35566133274833184,0.4,0.35566133274833184,radiative
1.4765311164706225e+33,4.790500726335674e+34,3.83750233966023e+16,21193928054.29335,11517881.618537033,1.2747753757680313,24.627549103621675,2.173985756576301,0.35569722042408597,0.4,0.35569722042408597,radiative
1.47692899603858e+33,4.790586769063813e+34,3.83595713845903e+16,21196787856.78974,11516214.0800133,1.2749999933996659,24.6212022644032,2.1719142216981195,0.3557331939167544,0.4,0.3557331939167544,radiative
1.4773268756065376e+33,4.79067272798163e+34,3.8344123615910456e+16,21199647604.123543,11514546.338833539,1.2752247447152758,24.614856742082097,2.1698441833519624,0.3557692533087663,0.4,0.3557692533087663,radiative
1.4777247551744952e+33,4.790758603153006e+34,3.832868008929774e+16,21202507296.46181,11512878.394753326,1.275449629867618,24.608512536606774,2.167775640596086,0.3558053986825358,0.4,0.3558053986825358,radiative
1.4781226347424527e+33,4.790844394641793e+34,3.8313240803487464e+16,21205366933.97165,11511210.247528985,1.2756746490094264,24.602169647923787,2.1657085924901383,0.3558416301204621,0.4,0.3558416301204621,radiative
1.4785205143104103e+33,4.790930102511812e+34,3.829780575721518e+16,21208226516.82022,11509541.896917587,1.2758998022934125,24.59582807597785,2.1636430380951692,0.3558779477049296,0.4,0.3558779477049296,radiative
1.478918393878368e+33,4.791015726826859e+34,3.828237494921677e+16,21211086045.17474,11507873.342676949,1.2761250898722645,24.589487820711806,2.1615789764736064,0.35591435151830814,0.4,0.35591435151830814,radiative
1.4793162734463254e+33,4.791101267650697e+34,3.826694837822834e+16,21213945519.20248,11506204.584565636,1.276350511898645,24.58314888206666,2.15951640668928,0.35595084164295127,0.4,0.35595084164295127,radiative
1.479714153014283e+33,4.791186725047061e+34,3.825152604298631e+16,21216804939.070763,11504535.622342963,1.2765760685251926,24.57681125998155,2.157455327807387,0.3559874181611979,0.4,0.3559874181611979,radiative
1.4801120325822406e+33,4.791272099079658e+34,3.823610794222739e+16,21219664304.946964,11502866.455768988,1.2768017599045258,24.570474954393777,2.15539573889452,0.3560240811553731,0.4,0.3560240811553731,radiative
1.480509912150198e+33,4.791357389812164e+34,3.822069407468855e+16,21222523616.99852,11501197.084604518,1.2770275861892333,24.56413996523878,2.1533376390186465,0.3560608307077851,0.4,0.3560608307077851,radiative
1.4809077917181557e+33,4.791442597308228e+34,3.820528443910706e+16,21225382875.39291,11499527.508611107,1.277253547531883,24.557806292450167,2.1512810272490985,0.3560976669007285,0.4,0.3560976669007285,radiative
1.4813056712861135e+33,4.791527721631468e+34,3.818987903422045e+16,21228242080.29768,11497857.727551056,1.2774796440850202,24.551473935959674,2.149225902656586,0.3561345898164833,0.4,0.3561345898164833,radiative
1.481703550854071e+33,4.791612762845473e+34,3.817447785876656e+16,21231101231.880417,11496187.741187414,1.2777058760011621,24.545142895697207,2.1471722643131947,0.35617159953731353,0.4,0.35617159953731353,radiative
1.4821014304220287e+33,4.791697721013804e+34,3.815908091148349e+16,21233960330.308773,11494517.549283978,1.2779322434328055,24.538813171590814,2.1451201112923592,0.3562086961454693,0.4,0.3562086961454693,radiative
1.4824993099899862e+33,4.791782596199994e+34,3.8143688191109624e+16,21236819375.750446,11492847.15160529,1.2781587465324187,24.532484763566714,2.1430694426688937,0.35624587972318494,0.4,0.35624587972318494,radiative
1.4828971895579438e+33,4.791867388467542e+34,3.812829969638365e+16,21239678368.37319,11491176.54791664,1.2783853854524487,24.526157671549274,2.141020257518953,0.3562831503526811,0.4,0.3562831503526811,radiative
1.4832950691259014e+33,4.791952097879924e+34,3.8112915426044504e+16,21242537308.34482,11489505.737984065,1.2786121603453142,24.51983189546101,2.1389725549200698,0.3563205081161624,0.4,0.3563205081161624,radiative
1.483692948693859e+33,4.792036724500582e+34,3.809753537883142e+16,21245396195.83319,11487834.72157435,1.2788390713634135,24.513507435222607,2.1369263339511084,0.35635795309582013,0.4,0.35635795309582013,radiative
1.4840908282618165e+33,4.792121268392932e+34,3.808215955348393e+16,21248255031.006226,11486163.498455027,1.2790661186591146,24.507184290752896,2.1348815936922985,0.3563954853738291,0.4,0.3563954853738291,radiative
1.484488707829774e+33,4.792205729620359e+34,3.8066787948741816e+16,21251113814.03189,11484492.068394374,1.2792933023847668,24.50086246196889,2.1328383332251972,0.3564331050323515,0.4,0.3564331050323515,radiative
1.4848865873977316e+33,4.79229010824622e+34,3.805142056334515e+16,21253972545.078213,11482820.43116142,1.2795206226926898,24.494541948785724,2.1307965516327316,0.35647081215353293,0.4,0.35647081215353293,radiative
1.4852844669656892e+33,4.792374404333842e+34,3.803605739603432e+16,21256831224.31327,11481148.586525934,1.27974807973518,24.48822275111676,2.128756247999149,0.3565086068195061,0.4,0.3565086068195061,radiative
1.485682346533647e+33,4.792458617946525e+34,3.802069844554994e+16,21259689851.9052,11479476.53425844,1.2799756736645058,24.481904868873436,2.1267174214100364,0.35654648911238696,0.4,0.35654648911238696,radiative
1.4860802261016046e+33,4.792542749147536e+34,3.800534371063295e+16,21262548428.022182,11477804.274130205,1.2802034046329132,24.47558830196545,2.1246800709523286,0.35658445911427855,0.4,0.35658445911427855,radiative
1.4864781056695622e+33,4.792626798000115e+34,3.798999319002457e+16,21265406952.83246,11476131.805913243,1.2804312727926213,24.46927305030058,2.122644195714276,0.35662251690726865,0.4,0.35662251690726865,radiative
1.4868759852375198e+33,4.792710764567475e+34,3.797464688246626e+16,21268265426.504326,11474459.12938032,1.2806592782958226,24.4629591137848,2.1206097947854645,0.35666066257343004,0.4,0.35666066257343004,radiative
1.4872738648054773e+33,4.792794648912796e+34,3.795930478669981e+16,21271123849.206127,11472786.244304938,1.2808874212946875,24.4566464923223,2.118576867256801,0.35669889619482265,0.4,0.35669889619482265,radiative
1.487671744373435e+33,4.792878451099232e+34,3.794396690146726e+16,21273982221.10627,11471113.15046136,1.281115701941358,24.450335185815355,2.116545412220524,0.3567372178534901,0.4,0.3567372178534901,radiative
1.4880696239413925e+33,4.792962171189906e+34,3.792863322551097e+16,21276840542.373207,11469439.84762459,1.2813441203879463,24.44402519416446,2.114515428770176,0.35677562763146103,0.4,0.35677562763146103,radiative
